Date,Open,High,Low,Close,Adj Close,Volume
03-09-2013,534.5,534.5,504,512.7999878,483.5763855,1987746
04-09-2013,511,524.5499878,500,519.7999878,490.1774902,1578579
05-09-2013,524.9000244,534.7999878,508.0499878,518.5999756,489.0458679,1488124
06-09-2013,519,530.7000122,516.7000122,528.5499878,498.4288635,1312068
10-09-2013,535,552.9500122,528.2000122,549.7000122,518.3735352,2074078
11-09-2013,550,569.9000244,543.5499878,561.3499756,529.3595581,2254248
12-09-2013,569.6500244,570.9000244,550,556.8499756,525.1159058,1469651
13-09-2013,555,569.9500122,553.3499756,563.75,531.6229248,1155839
16-09-2013,576.2999878,584.6500244,554,563.5999756,531.4814453,2130891
17-09-2013,558,562.9000244,541.25,544.5,513.4698486,1334776
18-09-2013,547.7000122,553.5499878,535.5499878,549.2999878,517.9962769,2183797
19-09-2013,559.9500122,564.9500122,551.2000122,557.9000244,528.5115967,2484559
20-09-2013,563,573.8499756,557.2000122,566.0999756,536.279541,2201410
23-09-2013,566,570.25,551.2000122,557.9500122,528.5588989,1350380
24-09-2013,552.0499878,564.4000244,544.2000122,556.1500244,526.8538208,2809418
25-09-2013,556.2000122,570,556.2000122,569,539.0267944,2326436
26-09-2013,570,587,570,581.2999878,550.678894,2734235
27-09-2013,585.9500122,597.5,585.9500122,589.8499756,558.7786255,2130839
30-09-2013,592,601.9000244,584.0999756,593.2999878,562.046814,2639756
01-10-2013,594.7000122,598.3499756,588.1500244,590,558.9206543,1138970
03-10-2013,596,608.5,592.4000244,600.9000244,569.24646,2598595
04-10-2013,603.0499878,610,598,600.4500122,568.8202515,1181436
07-10-2013,600,610.7999878,596.9000244,604.5,572.6568604,1336202
08-10-2013,604.0499878,618.7999878,601,614.1500244,581.7985229,1463394
09-10-2013,614,651.9000244,611.5,645.3499756,611.3549805,4011535
10-10-2013,647.5,650.8499756,636.25,639.5499878,605.8604736,1838930
11-10-2013,645,648,623.5999756,625.9500122,592.9769897,1640315
14-10-2013,628.4000244,632.5,618.5,626.0999756,593.1189575,1496466
15-10-2013,628,629.7999878,616.5,623.6500244,590.7981567,1455200
17-10-2013,626,632.5,615.4500122,620.2999878,587.6245117,1200221
18-10-2013,621.2000122,634.0999756,621.2000122,632.1500244,598.8504028,1343916
21-10-2013,635,635,625.5999756,630.9500122,597.713562,962849
22-10-2013,625.5499878,644.9000244,625.5499878,638.4500122,604.8184814,1672168
23-10-2013,645,645,617.0999756,621.3499756,588.6192017,2351330
24-10-2013,623.5499878,628.25,618.0499878,621.5,588.7614136,1978847
25-10-2013,620,622.9500122,602.5999756,610.8499756,578.6723633,1999798
28-10-2013,612,612.0499878,598.25,603.8499756,572.0410767,1382259
29-10-2013,603.2999878,620,601.5999756,617.9500122,585.3984375,1702397
30-10-2013,617,621.8499756,613.4500122,618.5,585.9193115,1014012
31-10-2013,619.7000122,619.7000122,605.0999756,608.7999878,576.7302856,1637900
01-11-2013,605.0499878,613.6500244,600.25,604.5999756,572.7515869,1261388
05-11-2013,605.9000244,609,589.4500122,591.8499756,560.6731567,1834400
06-11-2013,591.5499878,608.3499756,585.0999756,602.4000244,570.6674805,2096377
07-11-2013,606,612.75,602,605.7999878,573.8884277,1170128
08-11-2013,591.0999756,608.3499756,589.5999756,601.4500122,569.7677002,1358157
11-11-2013,599.9000244,605.9500122,592.25,596.0999756,564.6993408,1181409
12-11-2013,596.0999756,606.75,596,597.9500122,566.4518433,1467780
13-11-2013,612,623.4000244,605,608.0999756,576.0671997,3626443
14-11-2013,618.9500122,620.75,597,598.75,567.2097778,1912214
18-11-2013,608.4000244,612.4000244,596.6500244,610.75,578.5776367,1630019
19-11-2013,611,615.4500122,604,606.1500244,574.2198486,732505
20-11-2013,604,611,596,597.1500244,565.6940308,1709590
21-11-2013,596,597,580,581.1500244,550.5369263,1452156
22-11-2013,583.9500122,584.5,568.2999878,574.9500122,544.6634521,2357262
25-11-2013,580,583,575.6500244,580.8499756,550.2526245,1461973
26-11-2013,582,591.2000122,568.8499756,572.9000244,542.7214966,1596742
27-11-2013,573,576,562.5999756,570.1500244,540.116272,1622703
28-11-2013,574.7000122,577,568,570.7999878,540.7321777,1932974
29-11-2013,567.2999878,578.5499878,567.2999878,572,541.8688354,1545324
02-12-2013,572,598,572,595.3499756,563.9888306,2473184
